"","EVENT_DATE","COUNTRY","number"
"152",2002-10-08,"Ivory Coast",2
"153",2002-10-09,"Ivory Coast",2
"154",2002-10-12,"Ivory Coast",1
"155",2002-10-13,"Ivory Coast",1
"156",2002-10-14,"Ivory Coast",2
"157",2002-10-15,"Ivory Coast",1
"158",2002-10-16,"Ivory Coast",5
"159",2002-10-17,"Ivory Coast",3
"160",2002-10-18,"Ivory Coast",2
"161",2002-10-19,"Ivory Coast",1
"162",2002-10-20,"Ivory Coast",1
"163",2002-10-21,"Ivory Coast",1
"164",2002-10-22,"Ivory Coast",2
"165",2002-10-23,"Ivory Coast",1
"166",2002-10-29,"Ivory Coast",2
"167",2002-11-01,"Ivory Coast",1
"168",2002-11-03,"Ivory Coast",1
"169",2002-11-06,"Ivory Coast",1
"170",2002-11-27,"Ivory Coast",4
"171",2002-11-28,"Ivory Coast",3
"172",2002-11-29,"Ivory Coast",3
"173",2002-11-30,"Ivory Coast",2
"174",2002-12-01,"Ivory Coast",5
"175",2002-12-02,"Ivory Coast",2
"176",2002-12-03,"Ivory Coast",4
"177",2002-12-04,"Ivory Coast",4
"178",2002-12-05,"Ivory Coast",2
"179",2002-12-06,"Ivory Coast",1
"180",2002-12-07,"Ivory Coast",1
"181",2002-12-08,"Ivory Coast",2
"182",2002-12-10,"Ivory Coast",1
"183",2002-12-11,"Ivory Coast",2
"184",2002-12-14,"Ivory Coast",1
"185",2002-12-15,"Ivory Coast",1
"186",2002-12-18,"Ivory Coast",1
"187",2002-12-19,"Ivory Coast",2
"188",2002-12-20,"Ivory Coast",2
"189",2002-12-21,"Ivory Coast",1
"190",2002-12-22,"Ivory Coast",1
"191",2002-12-25,"Ivory Coast",2
"192",2002-12-26,"Ivory Coast",1
"193",2002-12-27,"Ivory Coast",1
"194",2002-12-28,"Ivory Coast",1
"195",2002-12-29,"Ivory Coast",1
"196",2002-12-31,"Ivory Coast",2
"197",2003-01-01,"Ivory Coast",1
"198",2003-01-02,"Ivory Coast",2
"199",2003-01-03,"Ivory Coast",3
"200",2003-01-04,"Ivory Coast",1
"201",2003-01-05,"Ivory Coast",2
"202",2003-01-06,"Ivory Coast",2
"203",2003-01-09,"Ivory Coast",2
"204",2003-01-10,"Ivory Coast",2
"205",2003-01-12,"Ivory Coast",1
"206",2003-01-14,"Ivory Coast",1
"207",2003-01-15,"Ivory Coast",1
"208",2003-01-16,"Ivory Coast",2
"209",2003-01-18,"Ivory Coast",2
"210",2003-01-19,"Ivory Coast",1
"211",2003-01-21,"Ivory Coast",2
"212",2003-01-22,"Ivory Coast",1
"213",2003-01-23,"Ivory Coast",2
"214",2003-01-25,"Ivory Coast",1
"215",2003-01-26,"Ivory Coast",1
"216",2003-01-27,"Ivory Coast",1
"217",2003-01-28,"Ivory Coast",3
"218",2003-01-29,"Ivory Coast",2
"219",2003-01-31,"Ivory Coast",2
"220",2003-02-01,"Ivory Coast",2
"221",2003-02-02,"Ivory Coast",1
"222",2003-02-03,"Ivory Coast",2
"223",2003-02-04,"Ivory Coast",1
"224",2003-02-06,"Ivory Coast",1
"225",2003-02-09,"Ivory Coast",1
"226",2003-02-10,"Ivory Coast",1
"227",2003-02-11,"Ivory Coast",1
"228",2003-02-15,"Ivory Coast",1
"229",2003-02-17,"Ivory Coast",2
"230",2003-02-19,"Ivory Coast",2
"231",2003-02-20,"Ivory Coast",2
"232",2003-02-24,"Ivory Coast",1
"233",2003-03-01,"Ivory Coast",2
"234",2003-03-02,"Ivory Coast",1
"235",2003-03-03,"Ivory Coast",2
"236",2003-03-07,"Ivory Coast",3
"237",2003-03-08,"Ivory Coast",2
"238",2003-03-13,"Ivory Coast",1
"239",2003-03-15,"Ivory Coast",1
"240",2003-03-19,"Ivory Coast",1
"241",2003-03-23,"Ivory Coast",1
"242",2003-03-28,"Ivory Coast",1
"243",2003-03-29,"Ivory Coast",4
"244",2003-04-01,"Ivory Coast",3
"245",2003-04-02,"Ivory Coast",1
"246",2003-04-03,"Ivory Coast",1
"247",2003-04-04,"Ivory Coast",1
"248",2003-04-05,"Ivory Coast",1
"249",2003-04-06,"Ivory Coast",3
"250",2003-04-07,"Ivory Coast",1
"251",2003-04-08,"Ivory Coast",2
"252",2003-04-09,"Ivory Coast",1
"253",2003-04-11,"Ivory Coast",3
"254",2003-04-12,"Ivory Coast",1
"255",2003-04-13,"Ivory Coast",2
"256",2003-04-14,"Ivory Coast",2
"257",2003-04-15,"Ivory Coast",5
"258",2003-04-16,"Ivory Coast",2
"259",2003-04-17,"Ivory Coast",3
"260",2003-04-18,"Ivory Coast",3
"261",2003-04-19,"Ivory Coast",2
"262",2003-04-28,"Ivory Coast",1
"263",2003-04-29,"Ivory Coast",1
"264",2003-04-30,"Ivory Coast",9
"265",2003-05-03,"Ivory Coast",1
"266",2003-05-05,"Ivory Coast",5
"267",2003-05-08,"Ivory Coast",1
"268",2003-05-09,"Ivory Coast",1
"269",2003-05-10,"Ivory Coast",1
"270",2003-05-14,"Ivory Coast",2
"271",2003-05-15,"Ivory Coast",2
"272",2003-05-23,"Ivory Coast",1
"273",2003-05-24,"Ivory Coast",1
"274",2003-05-25,"Ivory Coast",1
"275",2003-06-15,"Ivory Coast",1
"276",2003-06-27,"Ivory Coast",1
"277",2003-07-04,"Ivory Coast",1
"278",2003-07-05,"Ivory Coast",2
"279",2003-07-15,"Ivory Coast",1
"280",2003-07-29,"Ivory Coast",1
"281",2003-08-01,"Ivory Coast",1
"282",2003-08-15,"Ivory Coast",1
"283",2003-08-25,"Ivory Coast",1
"284",2003-09-11,"Ivory Coast",2
"285",2003-09-15,"Ivory Coast",1
"286",2003-09-16,"Ivory Coast",1
"287",2003-09-18,"Ivory Coast",2
