"","EVENT_DATE","COUNTRY","number"
"188",2012-04-24,"Mali",1
"189",2012-04-26,"Mali",1
"190",2012-04-27,"Mali",2
"191",2012-04-30,"Mali",6
"192",2012-05-01,"Mali",2
"193",2012-05-02,"Mali",4
"194",2012-05-05,"Mali",1
"195",2012-05-14,"Mali",2
"196",2012-05-15,"Mali",5
"197",2012-05-21,"Mali",1
"198",2012-05-22,"Mali",1
"199",2012-05-23,"Mali",2
"200",2012-05-24,"Mali",1
"201",2012-05-26,"Mali",1
"202",2012-05-27,"Mali",2
"203",2012-05-28,"Mali",2
"204",2012-05-29,"Mali",2
"205",2012-05-30,"Mali",1
"206",2012-05-31,"Mali",1
"207",2012-06-05,"Mali",1
"208",2012-06-06,"Mali",1
"209",2012-06-07,"Mali",4
"210",2012-06-10,"Mali",1
"211",2012-06-13,"Mali",1
"212",2012-06-14,"Mali",1
"213",2012-06-15,"Mali",6
"214",2012-06-20,"Mali",1
"215",2012-06-25,"Mali",1
"216",2012-06-26,"Mali",3
"217",2012-06-27,"Mali",2
"218",2012-06-28,"Mali",1
"219",2012-06-30,"Mali",1
"220",2012-07-01,"Mali",1
"221",2012-07-02,"Mali",4
"222",2012-07-03,"Mali",2
"223",2012-07-04,"Mali",2
"224",2012-07-05,"Mali",1
"225",2012-07-10,"Mali",1
"226",2012-07-11,"Mali",1
"227",2012-07-12,"Mali",3
"228",2012-07-13,"Mali",2
"229",2012-07-14,"Mali",1
"230",2012-07-15,"Mali",6
"231",2012-07-16,"Mali",2
"232",2012-07-17,"Mali",2
"233",2012-07-18,"Mali",1
"234",2012-07-20,"Mali",1
"235",2012-07-21,"Mali",1
"236",2012-07-26,"Mali",2
"237",2012-07-29,"Mali",2
"238",2012-08-05,"Mali",3
"239",2012-08-06,"Mali",3
"240",2012-08-08,"Mali",2
"241",2012-08-10,"Mali",1
"242",2012-08-12,"Mali",1
"243",2012-08-15,"Mali",18
"244",2012-08-16,"Mali",1
"245",2012-08-21,"Mali",1
"246",2012-08-22,"Mali",2
"247",2012-08-31,"Mali",1
"248",2012-09-01,"Mali",2
"249",2012-09-05,"Mali",2
"250",2012-09-08,"Mali",1
"251",2012-09-10,"Mali",2
"252",2012-09-12,"Mali",1
"253",2012-09-13,"Mali",1
"254",2012-09-16,"Mali",1
"255",2012-09-19,"Mali",1
"256",2012-09-24,"Mali",1
"257",2012-09-26,"Mali",1
"258",2012-09-28,"Mali",2
"259",2012-10-02,"Mali",1
"260",2012-10-03,"Mali",1
"261",2012-10-04,"Mali",1
"262",2012-10-05,"Mali",1
"263",2012-10-06,"Mali",1
"264",2012-10-10,"Mali",3
"265",2012-10-11,"Mali",1
"266",2012-10-13,"Mali",1
"267",2012-10-15,"Mali",2
"268",2012-10-18,"Mali",2
"269",2012-10-19,"Mali",1
"270",2012-10-21,"Mali",1
"271",2012-10-22,"Mali",1
"272",2012-10-24,"Mali",1
"273",2012-10-27,"Mali",1
"274",2012-10-29,"Mali",1
"275",2012-11-05,"Mali",1
"276",2012-11-08,"Mali",3
"277",2012-11-11,"Mali",1
"278",2012-11-16,"Mali",2
"279",2012-11-17,"Mali",1
"280",2012-11-19,"Mali",2
"281",2012-11-20,"Mali",1
"282",2012-11-22,"Mali",1
"283",2012-11-24,"Mali",1
"284",2012-11-28,"Mali",1
"285",2012-11-29,"Mali",1
"286",2012-12-01,"Mali",1
