"","EVENT_DATE","COUNTRY","number"
"139",2014-05-17,"Guinea-Bissau",2
"140",2014-09-26,"Guinea-Bissau",1
"141",2014-09-30,"Guinea-Bissau",1
"142",2015-07-15,"Guinea-Bissau",1
"143",2015-09-25,"Guinea-Bissau",1
"144",2016-05-26,"Guinea-Bissau",1
"145",2016-10-11,"Guinea-Bissau",1
"146",2016-11-05,"Guinea-Bissau",1
"147",2016-11-11,"Guinea-Bissau",1
"148",2016-12-14,"Guinea-Bissau",1
"149",2017-02-23,"Guinea-Bissau",1
"150",2017-03-09,"Guinea-Bissau",1
"151",2017-03-11,"Guinea-Bissau",1
"152",2017-03-25,"Guinea-Bissau",1
"153",2017-04-07,"Guinea-Bissau",1
"154",2017-04-14,"Guinea-Bissau",1
"155",2017-04-29,"Guinea-Bissau",1
"156",2017-05-27,"Guinea-Bissau",1
"157",2017-06-06,"Guinea-Bissau",1
"158",2017-08-08,"Guinea-Bissau",1
"159",2017-10-18,"Guinea-Bissau",1
"160",2017-10-27,"Guinea-Bissau",1
"161",2017-11-16,"Guinea-Bissau",1
"162",2017-11-23,"Guinea-Bissau",1
"163",2017-12-07,"Guinea-Bissau",1
"164",2017-12-14,"Guinea-Bissau",1
"165",2018-02-18,"Guinea-Bissau",1
"166",2018-03-05,"Guinea-Bissau",1
